證券代號,證券名稱,成交數量,成交筆數,成交金額,成交價,最後揭示買量,最後揭示賣量
0050,元大台灣50,7,7,1142750,163.25,0,18
0051,元大中型100,0,0,0,79.45,0,5
0052,富邦科技,1,1,165500,165.5,0,0
0053,元大電子,0,0,0,88.65,0,0
0055,元大MSCI金融,3,2,76170,25.39,1,0
0056,元大高股息,62,41,2479380,39.99,6,0
0057,富邦摩台,0,0,0,120.05,0,0
0061,元大寶滬深,0,0,0,16.94,4,0
006203,元大MSCI台灣,0,0,0,77.5,0,0
006204,永豐臺灣加權,0,0,0,103.7,0,0
006205,富邦上証,0,0,0,29.26,1,0
006206,元大上證50,0,0,0,27.94,0,0
006207,復華滬深,0,0,0,22.16,0,0
006208,富邦台50,4,4,381800,95.45,16,0
00631L,元大台灣50正2,3,3,618900,206.3,1,0
00632R,元大台灣50反1,336,88,1276800,3.8,710,0
00633L,富邦上証正2,3,2,98520,32.84,2962,0
00634R,富邦上証反1,0,0,0,4.71,0,2000
00635U,期元大S&P黃金,4,2,111880,27.97,7,0
00636,國泰中國A50,9,3,181260,20.14,0,3
00636K,國泰中國A50+U,0,0,0,6.29,0,0
00637L,元大滬深300正2,364,35,4772040,13.11,24399,0
00638R,元大滬深300反1,0,0,0,9.83,0,0
00639,富邦深100,0,0,0,10.54,0,0
00640L,富邦日本正2,0,0,0,58.15,22,0
00641R,富邦日本反1,0,0,0,6.43,3,0
00642U,期元大S&P石油,1,1,19130,19.13,0,4
00643,群益深証中小,0,0,0,11.57,0,0
00645,富邦日本,2,2,76260,38.13,0,4
00646,元大S&P500,0,0,0,52,8,0
00647L,元大S&P500正2,0,0,0,82.5,0,0
00648R,元大S&P500反1,0,0,0,5.75,0,0
00650L,復華香港正2,350,42,3132500,8.95,8495,0
00651R,復華香港反1,0,0,0,9.5,0,530
00652,富邦印度,0,0,0,37.5,0,3
00653L,富邦印度正2,0,0,0,59.45,1,0
00654R,富邦印度反1,0,0,0,6.73,9,0
00655L,國泰中國A50正2,0,0,0,22.55,3440,0
