,城市,起始時間,結束時間,最低溫度,最高溫度,感覺
0,嘉義縣,2024-05-12 06:00:00,2024-05-12 18:00:00,23.0,31.0,舒適至悶熱
1,新北市,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,32.0,舒適至悶熱
2,嘉義市,2024-05-12 06:00:00,2024-05-12 18:00:00,23.0,32.0,舒適至悶熱
3,新竹縣,2024-05-12 06:00:00,2024-05-12 18:00:00,23.0,30.0,舒適至悶熱
4,新竹市,2024-05-12 06:00:00,2024-05-12 18:00:00,23.0,29.0,舒適至悶熱
5,臺北市,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,33.0,舒適至悶熱
6,臺南市,2024-05-12 06:00:00,2024-05-12 18:00:00,25.0,31.0,舒適至悶熱
7,宜蘭縣,2024-05-12 06:00:00,2024-05-12 18:00:00,23.0,30.0,舒適至悶熱
8,苗栗縣,2024-05-12 06:00:00,2024-05-12 18:00:00,23.0,30.0,舒適至悶熱
9,雲林縣,2024-05-12 06:00:00,2024-05-12 18:00:00,23.0,32.0,舒適至悶熱
10,花蓮縣,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,30.0,舒適至悶熱
11,臺中市,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,32.0,舒適至悶熱
12,臺東縣,2024-05-12 06:00:00,2024-05-12 18:00:00,25.0,32.0,舒適至悶熱
13,桃園市,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,31.0,舒適至悶熱
14,南投縣,2024-05-12 06:00:00,2024-05-12 18:00:00,23.0,32.0,舒適至悶熱
15,高雄市,2024-05-12 06:00:00,2024-05-12 18:00:00,26.0,32.0,舒適至悶熱
16,金門縣,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,28.0,舒適至悶熱
17,屏東縣,2024-05-12 06:00:00,2024-05-12 18:00:00,25.0,34.0,舒適至易中暑
18,基隆市,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,31.0,舒適至悶熱
19,澎湖縣,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,28.0,舒適至悶熱
20,彰化縣,2024-05-12 06:00:00,2024-05-12 18:00:00,24.0,31.0,舒適至悶熱
21,連江縣,2024-05-12 06:00:00,2024-05-12 18:00:00,21.0,25.0,舒適
