,位址,橋名
0,新北市烏來區,覽勝橋                        
1,新北市坪林區,大林橋                        
2,新北市新店區,屈尺堰                        
3,新北市坪林區,思源橋                        
4,新北市石碇區潭邊里石崁路25號(石碇區公所),石碇(2)                       
5,南投縣集集鎮林尾里公館巷3號,集集(2)                       
6,南投縣仁愛鄉新生村山林巷1號(中興大學惠蓀林場),惠蓀(2)                       
7,屏東縣屏東市建國路291號(第七河川局),屏東(5)                       
8,新北市林口區民治路25號,林口(1)                       
9,新北市坪林區石曹里碧湖路7號(左前方),碧湖                          
10,新北市平溪區東勢里番子坑34-2號(民宅頂樓),火燒寮                        
11,新北市三峽區插角里,大豹                          
12,新北市三峽區鳶山里中山路551號(板新給水廠),三峽                          
13,新北市石門區老梅里老梅路10號(老梅國小停車場邊),富貴角                        
14,新北市瑞芳區龍山里瑞芳街60號(瑞芳高工莊敬樓屋板上),瑞芳(2)                       
15,臺北市中正區水源路中正橋(靠臺北市堤防),中正橋                        
16,台北市北投區陽明山竹子湖路2號,竹子湖(2)                     
17,新北市烏來區大羅蘭里,福山(3)                       
18,新北市烏來區忠治里(大桶山),大桶山                        
19,新北市坪林區坪林(坪林加油站後山邊),坪林(4)                       
20,基隆市七堵區堵北里,五堵                          
21,桃園市龍潭區大坪里(石門水庫後池堰面對下游左側),石門(3)                       
22,桃園市龜山區龍校街30號,龍壽社區                      
23,新竹縣五峰鄉竹林村羅山15號(竹林國小分校後邊),太閣南                        
24,新竹縣五峰鄉桃山村16鄰277號(清泉派出所宿舍),清泉                          
25,新竹縣尖石鄉梅花村1鄰11號(梅花國小),梅花                          
26,新竹縣尖石鄉新樂村煤源,鳥嘴山                        
27,新竹縣關西鎮東光里16張49號(富光國中),關西(3)                       
28,新竹縣新埔鎮中正路792號(新埔國中後面體育館),新埔(1)                       
29,苗栗縣泰安鄉錦水村10鄰橫龍山52號(橫龍山派出所),橫龍山                        
30,苗栗縣泰安鄉象鼻村1鄰13號(象鼻派出所),象鼻(1)                       
31,苗栗縣泰安鄉梅園村,松安                          
32,苗栗縣竹南鎮大埔里仁愛路867號(水利會工作站屋頂),大埔                          
33,苗栗縣南庄鄉東村大同路3號(南庄鄉公所),南庄(1)                       
34,臺中市東勢區東蘭路,卓蘭(2)                       
35,苗栗縣頭份鎮流東里信德路58號,珊珠湖                        
36,苗栗縣大湖鄉民族路42號,大湖(1)                       
37,苗栗縣三義鄉廣盛村80號,三義(2)                       
38,苗栗縣後龍鎮中和里14鄰152號,南勢山                        
39,苗栗縣通霄鎮福興里58-2號,大坪頂                        
40,苗栗縣獅潭鄉和興村8鄰4號,和興                          
41,苗栗縣三灣鄉大河村64號,大河                          
42,苗栗縣造橋鄉龍昇村新庄子10之7,大潭                          
43,苗栗縣三灣鄉三灣村中山路49號,三灣                          
44,臺中市和平區裡冷溪林道八仙山,八仙山(1)                     
