"113年05月24日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","402,325,708,049","4,291,631,564","2,650,427",
"2.台灣存託憑證","318,990,979","80,888,465","8,983",
"3.受益憑證","0","0","0",
"4.ETF","17,703,482,366","1,046,010,562","242,692",
"5.受益證券","208,047,659","20,691,144","26",
"6.變更交易股票","12,142,742","2,006,647","876",
"7.認購(售)權證","3,672,783,320","3,210,855,000","117,051",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","10,814,610","873,000","195",
"14.創新板股票","154,746,207","2,001,407","1,171",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","402,492,596,998","4,295,639,618","2,652,474",
"總計(1~15)","424,406,715,932","8,654,957,789","3,021,421",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","7,515(33)","502(14)",
"下跌(跌停)","7,264(50)","403(0)",
"持平","1,108","102",
"未成交","19,596","4",
"無比價","3,356","0",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

